price,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,28,6,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,27,1,6,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,27,0,1,6,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,27,0,0,1,6
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,46,6,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,1,6,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,1,6,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,1,6
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,24,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,19,6,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,18,1,6,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,18,0,1,6
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,18,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,24,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,19,6,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,18,1,6
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,33,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,28,6,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,27,1,6,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,27,0,1,6
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,33,0,0,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,28,6,0,0
